kappa_A,sigma_A,kappa_B,sigma_B,f_B,kappa_mix,sigma_mix,sigma_mixing_rule,S_max,Nd,total_act_frac,activated
0.61,0.07457325,0.2,0.07,0.30000000000000004,0.487,0.073201275,linear_approximation,0.002721343080361819,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.02,0.30000000000000004,0.517,0.05820127499999999,linear_approximation,0.0024059678163302666,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.30000000000000004,0.0325,0.30000000000000004,0.517,0.06195127499999999,linear_approximation,0.00247786917029377,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.045,0.30000000000000004,0.517,0.06570127499999999,linear_approximation,0.002548809125434321,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.05750000000000001,0.30000000000000004,0.517,0.06945127499999999,linear_approximation,0.002618999681031439,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.07,0.30000000000000004,0.517,0.073201275,linear_approximation,0.0026886196379120437,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.02,0.30000000000000004,0.547,0.05820127499999999,linear_approximation,0.002378581936793504,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.0325,0.30000000000000004,0.547,0.06195127499999999,linear_approximation,0.002449558951513255,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.045,0.30000000000000004,0.547,0.06570127499999999,linear_approximation,0.0025196691091223357,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.05750000000000001,0.30000000000000004,0.547,0.06945127499999999,linear_approximation,0.0025889537024555305,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.07,0.30000000000000004,0.547,0.073201275,linear_approximation,0.0026576834423816674,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.02,0.30000000000000004,0.577,0.05820127499999999,linear_approximation,0.0023526015858648538,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.0325,0.30000000000000004,0.577,0.06195127499999999,linear_approximation,0.002422691318096389,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.045,0.30000000000000004,0.577,0.06570127499999999,linear_approximation,0.0024920129088871735,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.05750000000000001,0.30000000000000004,0.577,0.06945127499999999,linear_approximation,0.0025604747031786747,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.07,0.30000000000000004,0.577,0.073201275,linear_approximation,0.002628352893383496,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.02,0.4,0.406,0.05274395,linear_approximation,0.002410667056056365,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.1,0.0325,0.4,0.406,0.05774395,linear_approximation,0.002513382211111396,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.1,0.045,0.4,0.406,0.06274394999999999,linear_approximation,0.0026141711985382863,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.1,0.05750000000000001,0.4,0.406,0.06774395,linear_approximation,0.0027137003491825968,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.1,0.07,0.4,0.406,0.07274395,linear_approximation,0.0028116170357276303,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.02,0.4,0.446,0.05274395,linear_approximation,0.0023678315484218664,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.0325,0.4,0.446,0.05774395,linear_approximation,0.002468309149879876,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.045,0.4,0.446,0.06274394999999999,linear_approximation,0.0025671735598780825,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.05750000000000001,0.4,0.446,0.06774395,linear_approximation,0.0026645347008909513,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.2,0.07,0.4,0.446,0.07274395,linear_approximation,0.0027606493889015516,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.02,0.4,0.486,0.05274395,linear_approximation,0.0023285078950627974,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.30000000000000004,0.0325,0.4,0.486,0.05774395,linear_approximation,0.002426977098614678,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.30000000000000004,0.045,0.4,0.486,0.06274394999999999,linear_approximation,0.0025240821753175114,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.05750000000000001,0.4,0.486,0.06774395,linear_approximation,0.0026195391264871326,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.07,0.4,0.486,0.07274395,linear_approximation,0.002713907771139923,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.02,0.4,0.526,0.05274395,linear_approximation,0.002292110023288983,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.4,0.0325,0.4,0.526,0.05774395,linear_approximation,0.0023888131346078935,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.4,0.045,0.4,0.526,0.06274394999999999,linear_approximation,0.0024842408280130414,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.05750000000000001,0.4,0.526,0.06774395,linear_approximation,0.002578050642522135,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.07,0.4,0.526,0.07274395,linear_approximation,0.0026707388062824685,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.02,0.4,0.5660000000000001,0.05274395,linear_approximation,0.0022582123562771015,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.5,0.0325,0.4,0.5660000000000001,0.05774395,linear_approximation,0.0023533467659834087,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.045,0.4,0.5660000000000001,0.06274394999999999,linear_approximation,0.002447175917849006,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.05750000000000001,0.4,0.5660000000000001,0.06774395,linear_approximation,0.0025395274595081236,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.07,0.4,0.5660000000000001,0.07274395,linear_approximation,0.0026306455287744613,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.02,0.5,0.355,0.047286625,linear_approximation,0.002354411985277889,503257708.30240583,0.502063479841258,True
0.61,0.07457325,0.1,0.0325,0.5,0.355,0.053536625,linear_approximation,0.0024885962446898574,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.1,0.045,0.5,0.355,0.059786624999999996,linear_approximation,0.0026199780019783253,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.1,0.05750000000000001,0.5,0.355,0.066036625,linear_approximation,0.002748966888105069,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.1,0.07,0.5,0.355,0.072286625,linear_approximation,0.0028751372304604158,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.02,0.5,0.405,0.047286625,linear_approximation,0.002297849444399016,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.0325,0.5,0.405,0.053536625,linear_approximation,0.0024281647810507306,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.045,0.5,0.405,0.059786624999999996,linear_approximation,0.00255599472086572,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.05750000000000001,0.5,0.405,0.066036625,linear_approximation,0.002681112858643982,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.07,0.5,0.405,0.072286625,linear_approximation,0.0028040704503849508,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.02,0.5,0.455,0.047286625,linear_approximation,0.0022475832631573614,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.30000000000000004,0.0325,0.5,0.455,0.053536625,linear_approximation,0.0023746328665082963,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.30000000000000004,0.045,0.5,0.455,0.059786624999999996,linear_approximation,0.002499174055030884,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.30000000000000004,0.05750000000000001,0.5,0.455,0.066036625,linear_approximation,0.0026210897558230297,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.30000000000000004,0.07,0.5,0.455,0.072286625,linear_approximation,0.002741106131086705,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.02,0.5,0.505,0.047286625,linear_approximation,0.002202338583041186,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.4,0.0325,0.5,0.505,0.053536625,linear_approximation,0.0023264606164850083,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.4,0.045,0.5,0.505,0.059786624999999996,linear_approximation,0.002448017835329624,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.4,0.05750000000000001,0.5,0.505,0.066036625,linear_approximation,0.002567255574522901,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.07,0.5,0.505,0.072286625,linear_approximation,0.002684483983687254,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.02,0.5,0.5549999999999999,0.047286625,linear_approximation,0.002161139666519918,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.5,0.0325,0.5,0.5549999999999999,0.053536625,linear_approximation,0.0022825739341777573,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.5,0.045,0.5,0.5549999999999999,0.059786624999999996,linear_approximation,0.002401507198365211,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.05750000000000001,0.5,0.5549999999999999,0.066036625,linear_approximation,0.0025183605261959183,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.07,0.5,0.5549999999999999,0.072286625,linear_approximation,0.0026330569712172056,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.1,0.02,0.6000000000000001,0.30399999999999994,0.04182929999999999,linear_approximation,0.0022964121001137826,503257708.30240583,0.502063479841258,True
0.61,0.07457325,0.1,0.0325,0.6000000000000001,0.30399999999999994,0.04932929999999999,linear_approximation,0.0024661032953460157,503257708.30240583,0.502063479841258,True
0.61,0.07457325,0.1,0.045,0.6000000000000001,0.30399999999999994,0.05682929999999999,linear_approximation,0.002631279676988473,503257708.30240583,0.502063479841258,True
0.61,0.07457325,0.1,0.05750000000000001,0.6000000000000001,0.30399999999999994,0.0643293,linear_approximation,0.0027924811451877775,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.1,0.07,0.6000000000000001,0.30399999999999994,0.0718293,linear_approximation,0.0029494589291738263,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.02,0.6000000000000001,0.364,0.04182929999999999,linear_approximation,0.002224563123422587,503257708.30240583,0.502063479841258,True
0.61,0.07457325,0.2,0.0325,0.6000000000000001,0.364,0.04932929999999999,linear_approximation,0.002387610039287206,503257708.30240583,0.502063479841258,True
0.61,0.07457325,0.2,0.045,0.6000000000000001,0.364,0.05682929999999999,linear_approximation,0.002546457649476077,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.05750000000000001,0.6000000000000001,0.364,0.0643293,linear_approximation,0.00270123810882948,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.2,0.07,0.6000000000000001,0.364,0.0718293,linear_approximation,0.0028525359935694895,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.30000000000000004,0.02,0.6000000000000001,0.424,0.04182929999999999,linear_approximation,0.0021631332128389004,503257708.30240583,0.502063479841258,True
0.61,0.07457325,0.30000000000000004,0.0325,0.6000000000000001,0.424,0.04932929999999999,linear_approximation,0.00232064593237857,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.30000000000000004,0.045,0.6000000000000001,0.424,0.05682929999999999,linear_approximation,0.002474094460774949,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.30000000000000004,0.05750000000000001,0.6000000000000001,0.424,0.0643293,linear_approximation,0.002623827527846706,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.30000000000000004,0.07,0.6000000000000001,0.424,0.0718293,linear_approximation,0.002770487048542086,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.02,0.6000000000000001,0.484,0.04182929999999999,linear_approximation,0.0021092761264526216,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.4,0.0325,0.6000000000000001,0.484,0.04932929999999999,linear_approximation,0.0022620666936944717,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.4,0.045,0.6000000000000001,0.484,0.05682929999999999,linear_approximation,0.0024110183065081435,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.4,0.05750000000000001,0.6000000000000001,0.484,0.0643293,linear_approximation,0.0025565851636835603,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.4,0.07,0.6000000000000001,0.484,0.0718293,linear_approximation,0.002698980686611405,638373012.3967685,0.6368581558776214,True
0.61,0.07457325,0.5,0.02,0.6000000000000001,0.544,0.04182929999999999,linear_approximation,0.0020613037452272805,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.5,0.0325,0.6000000000000001,0.544,0.04932929999999999,linear_approximation,0.002209999932355833,571847495.2100056,0.5704905034681016,True
0.61,0.07457325,0.5,0.045,0.6000000000000001,0.544,0.05682929999999999,linear_approximation,0.0023550979189964293,571847495.2100056,0.5704905034681016,True
